,Rank,Player,Position,FF,FA,AF    ,B,OP,ToG%,Season,Round
314,312,Josh Walker,KEYD,0,1,46,0,3,90,2021,Round 1
315,316,Tyler Brockman,FWD,0,1,45,0,0,65,2021,Round 1
316,316,Joe Daniher,KEYF,2,2,45,0,1,91,2021,Round 1
317,316,Tom Jonas,KEYD,0,0,45,0,6,93,2021,Round 1
318,316,Jack Ross,MID,1,0,45,0,0,23,2021,Round 1
319,320,Aliir Aliir,KEYD,1,4,44,0,3,96,2021,Round 1
320,320,Jack Buckley,KEYD,1,1,44,0,3,77,2021,Round 1
321,320,Connor Budarick,DEF,0,3,44,0,0,83,2021,Round 1
322,320,Keidean Coleman,FWD,1,1,44,0,2,64,2021,Round 1
323,320,Charlie Dixon,KEYF,1,3,44,0,6,97,2021,Round 1
324,320,Aaron Francis,KEYD,1,1,44,0,2,86,2021,Round 1
325,320,Paul Hunter,RUC,0,3,44,0,8,71,2021,Round 1
326,320,Andrew McPherson,DEF,1,2,44,0,1,85,2021,Round 1
327,328,Brennan Cox,KEYD,0,0,43,0,4,87,2021,Round 1
328,328,Daniel McKenzie,MID,0,1,43,1,1,70,2021,Round 1
329,328,Kayne Turner,DEF,0,2,43,0,2,85,2021,Round 1
330,331,Reece Conca,DEF,1,2,42,0,2,83,2021,Round 1
331,331,Tom J. Lynch,KEYF,0,2,42,0,2,92,2021,Round 1
332,331,Harry Sharp,MID,0,1,42,0,2,81,2021,Round 1
333,334,Aiden Bonar,DEF,1,1,41,0,5,79,2021,Round 1
334,334,Nick Holman,FWD,0,0,41,0,0,50,2021,Round 1
335,334,Cale Hooker,KEYF,1,0,41,0,1,85,2021,Round 1
336,334,Will Hoskin-Elliott,MID,0,3,41,0,0,84,2021,Round 1
337,334,Neville Jetta,DEF,0,0,41,0,7,82,2021,Round 1
338,334,Trent Rivers,DEF,0,1,41,0,0,55,2021,Round 1
339,334,Mitch Wallis,FWD,0,1,41,0,1,78,2021,Round 1
340,334,Cameron Zurhaar,FWD,0,1,41,0,0,86,2021,Round 1
341,342,Jacob Koschitzke,KEYF,0,1,40,0,4,91,2021,Round 1
342,342,Jayden Laverde,KEYD,1,1,40,0,8,94,2021,Round 1
343,342,Jack Silvagni,FWD,0,0,40,0,1,40,2021,Round 1
344,345,Blake Acres,MID,0,2,39,0,1,81,2021,Round 1
345,345,David Astbury,KEYD,2,1,39,0,4,88,2021,Round 1
346,345,Charlie Cameron,FWD,2,0,39,0,1,77,2021,Round 1
347,345,Jack Payne,KEYD,0,0,39,0,7,93,2021,Round 1
348,345,Callum Wilkie,KEYD,2,1,39,0,2,92,2021,Round 1
349,350,Levi Casboult,KEYF,1,2,38,0,1,85,2021,Round 1
350,350,Harry Cunningham,DEF,1,2,38,0,3,89,2021,Round 1
351,350,Jayden Hunt,DEF,0,2,38,0,1,88,2021,Round 1
352,350,Connor Idun,DEF,0,0,38,0,7,78,2021,Round 1
353,350,Sam Taylor,KEYD,0,0,38,0,13,95,2021,Round 1
354,350,Tom Williamson,DEF,0,1,38,0,1,81,2021,Round 1
355,356,Will Hamill,DEF,0,0,37,0,0,80,2021,Round 1
356,356,Izak Rankine,FWD,0,1,37,1,1,80,2021,Round 1
357,358,Callum Ah Chee,DEF,0,2,36,0,2,87,2021,Round 1
358,358,Phil Davis,KEYD,0,1,36,0,5,89,2021,Round 1
359,358,Shane McAdam,FWD,0,1,36,0,0,70,2021,Round 1
360,361,Jordon Butts,KEYD,1,0,35,0,8,93,2021,Round 1
361,361,Dylan Grimes,KEYD,0,1,35,0,2,92,2021,Round 1
362,361,Liam Henry,FWD,2,0,35,0,0,75,2021,Round 1
363,361,Josh Jenkins,KEYF,1,2,35,0,0,72,2021,Round 1
364,361,Ryan Lester,DEF,2,1,35,0,5,76,2021,Round 1
365,361,Brayden Sier,MID,0,0,35,0,0,60,2021,Round 1
366,361,Nick Vlastuin,DEF,0,1,35,0,2,56,2021,Round 1
367,368,Ned Cahill,DEF,0,1,34,0,1,75,2021,Round 1
368,368,Hayden McLean,KEYF,1,1,34,0,2,92,2021,Round 1
369,370,Kane Farrell,FWD,0,1,33,0,0,77,2021,Round 1
370,370,Curtis Taylor,FWD,2,0,33,0,1,70,2021,Round 1
371,372,Joel Hamling,KEYD,3,0,32,0,7,77,2021,Round 1
372,372,Kyle Hartigan,KEYD,0,1,32,0,10,97,2021,Round 1
373,372,Shaun McKernan,RUC,1,5,32,0,8,72,2021,Round 1
374,375,Jed Bews,DEF,1,2,31,0,1,85,2021,Round 1
375,375,Stefan Giro,MID,0,0,31,0,0,53,2021,Round 1
376,375,Liam Jones,KEYD,2,2,31,0,7,98,2021,Round 1
377,375,Gary Rohan,FWD,0,2,31,0,0,80,2021,Round 1
378,375,Brandon Starcevich,DEF,1,0,31,1,1,84,2021,Round 1
379,375,Tobe Watson,DEF,0,2,31,0,3,89,2021,Round 1
380,381,Mitchell Hinge,DEF,1,0,30,0,1,44,2021,Round 1
