,Rank,Player,Position,AF    ,R,G,D,M,T,C,K,H,HO,Season,Round
191,188,James Worpel,MID,67,3.2,0,17,4,3,2,12,5,0,2021,Round 1
192,193,Noah Anderson,MID,66,6.2,0,19,3,3,3,13,6,0,2021,Round 1
193,193,Bayley Fritsch,FWD,66,9.2,2,10,6,2,0,9,1,0,2021,Round 1
194,193,Sam Menegola,MID,66,6.3,1,14,5,3,2,7,7,0,2021,Round 1
195,193,Brody Mihocek,KEYF,66,6.5,2,11,6,2,0,7,4,0,2021,Round 1
196,193,Christian Salem,DEF,66,5.9,0,18,6,1,1,11,7,0,2021,Round 1
197,198,Lachie Ash,DEF,65,2.9,0,21,3,0,0,16,5,0,2021,Round 1
198,198,Darcy Byrne-Jones,DEF,65,2.7,0,19,5,1,2,13,6,0,2021,Round 1
199,198,Tom Clurey,KEYD,65,14.1,0,12,8,2,0,9,3,0,2021,Round 1
200,198,Tom Doedee,KEYD,65,12.7,0,13,4,4,1,9,4,0,2021,Round 1
201,198,Zac Fisher,FWD,65,8.6,0,20,3,1,1,10,10,0,2021,Round 1
202,198,Robbie Gray,FWD,65,7.2,0,19,3,1,7,11,8,0,2021,Round 1
203,198,Logan McDonald,KEYF,65,9,3,11,5,0,0,9,2,0,2021,Round 1
204,198,Tom Papley,FWD,65,12,1,15,6,0,1,12,3,0,2021,Round 1
205,198,Marc Pittonet,RUC,65,13.2,0,9,3,0,2,4,5,33,2021,Round 1
206,198,Harry Schoenberg,MID,65,10.8,1,16,3,3,2,6,10,0,2021,Round 1
207,198,Jy Simpkin,MID,65,12.9,0,23,2,2,6,10,13,0,2021,Round 1
208,198,Will Snelling,FWD,65,11.7,1,14,2,5,0,5,9,0,2021,Round 1
209,198,Rhys Stanley,RUC,65,10.9,1,14,2,1,3,3,11,21,2021,Round 1
210,198,Laitham Vandermeer,FWD,65,21.4,2,14,1,4,1,5,9,0,2021,Round 1
211,212,Paddy Dow,MID,64,8.3,1,18,0,3,1,10,8,0,2021,Round 1
212,212,Jack Mahony,FWD,64,0.9,1,14,3,3,2,11,3,0,2021,Round 1
213,212,Jared Polec,MID,64,5,0,22,2,2,3,13,9,0,2021,Round 1
214,212,Devon Smith,FWD,64,14,2,12,2,4,1,7,5,0,2021,Round 1
215,216,Brayden Ham,FWD,63,4.7,0,17,2,4,1,7,10,0,2021,Round 1
216,216,Harrison Jones,KEYF,63,-1.6,0,13,5,2,0,9,4,0,2021,Round 1
217,216,Sean Lemmens,DEF,63,1.7,0,16,7,2,0,11,5,0,2021,Round 1
218,216,Ben Long,DEF,63,10.6,0,17,5,1,3,13,4,0,2021,Round 1
219,216,Darcy MacPherson,FWD,63,9.7,0,17,6,0,2,11,6,0,2021,Round 1
220,216,Gryan Miers,FWD,63,5.6,1,16,3,2,1,8,8,0,2021,Round 1
221,222,Oliver Hanrahan,FWD,62,6.7,1,12,4,2,0,8,4,0,2021,Round 1
222,222,Tom Highmore,DEF,62,4.4,0,19,2,4,2,10,9,0,2021,Round 1
223,222,Liam Ryan,FWD,62,10.6,1,12,4,2,0,10,2,0,2021,Round 1
224,222,Alex Sexton,FWD,62,10.1,1,12,6,1,0,9,3,0,2021,Round 1
225,226,Dan Butler,FWD,61,7.3,1,10,0,7,1,9,1,0,2021,Round 1
226,226,Jordan Dawson,DEF,61,11.3,0,21,1,0,0,13,8,0,2021,Round 1
227,226,Jordan De Goey,FWD,61,8.9,0,16,1,4,5,10,6,0,2021,Round 1
228,226,Oliver Florent,MID,61,9.1,0,16,3,5,2,8,8,0,2021,Round 1
229,226,Bradley Hill,DEF,61,9.8,1,16,3,2,3,8,8,0,2021,Round 1
230,226,Peter Ladhams,RUC,61,5.8,0,15,4,2,2,7,8,7,2021,Round 1
231,226,Connor Menadue,DEF,61,9.9,0,16,5,1,0,8,8,0,2021,Round 1
232,226,Peter Wright,RUC,61,11.6,1,16,3,0,1,9,7,6,2021,Round 1
233,234,James Aish,DEF,60,4.7,0,17,2,1,4,14,3,0,2021,Round 1
234,234,Jarrod Berry,MID,60,3.9,1,16,3,2,1,10,6,0,2021,Round 1
235,234,Jason Castagna,FWD,60,8.2,2,13,4,0,0,8,5,0,2021,Round 1
