,Team1,Team2,Points1,Points2,Venue,Season,Round,Day,Date,Attendance,Winner1,Home/Away1,Home/Away2
2022,Port Adelaide,Western Bulldogs,45.0,116.0,Adelaide Oval,2021,Preliminary Final,Sat,11-Sep-2021,26400.0,0,H,A
2023,Melbourne,Western Bulldogs,140.0,66.0,Perth Stadium,2021,Grand Final,Sat,25-Sep-2021,61118.0,1,A,A
2024,Melbourne,Western Bulldogs,97.0,71.0,M.C.G.,2022,Round 1,Wed,16-Mar-2022,58002.0,1,H,A
2025,Carlton,Richmond,101.0,76.0,M.C.G.,2022,Round 1,Thu,17-Mar-2022,72179.0,1,H,H
2026,St Kilda,Collingwood,85.0,102.0,Docklands,2022,Round 1,Fri,18-Mar-2022,40129.0,0,H,A
2027,Geelong,Essendon,138.0,72.0,M.C.G.,2022,Round 1,Sat,19-Mar-2022,54495.0,1,A,H
2028,Greater Western Sydney,Sydney,92.0,112.0,Stadium Australia,2022,Round 1,Sat,19-Mar-2022,25572.0,0,A,H
2029,Brisbane Lions,Port Adelaide,80.0,69.0,Gabba,2022,Round 1,Sat,19-Mar-2022,25100.0,1,H,A
2030,Hawthorn,North Melbourne,78.0,58.0,M.C.G.,2022,Round 1,Sun,20-Mar-2022,38297.0,1,H,A
2031,Adelaide,Fremantle,82.0,83.0,Adelaide Oval,2022,Round 1,Sun,20-Mar-2022,28186.0,0,H,A
2032,West Coast,Gold Coast,80.0,107.0,Perth Stadium,2022,Round 1,Sun,20-Mar-2022,20932.0,0,H,A
2033,Western Bulldogs,Carlton,90.0,102.0,Docklands,2022,Round 2,Thu,24-Mar-2022,34961.0,0,H,H
2034,Sydney,Geelong,107.0,77.0,S.C.G.,2022,Round 2,Fri,25-Mar-2022,36578.0,1,H,A
2035,Collingwood,Adelaide,100.0,58.0,M.C.G.,2022,Round 2,Sat,26-Mar-2022,36843.0,1,H,A
2036,Essendon,Brisbane Lions,75.0,97.0,Docklands,2022,Round 2,Sat,26-Mar-2022,30631.0,0,H,A
2037,Port Adelaide,Hawthorn,56.0,120.0,Adelaide Oval,2022,Round 2,Sat,26-Mar-2022,30267.0,0,H,A
2038,Gold Coast,Melbourne,69.0,82.0,Carrara,2022,Round 2,Sat,26-Mar-2022,8280.0,0,H,A
2039,North Melbourne,West Coast,74.0,59.0,Docklands,2022,Round 2,Sun,27-Mar-2022,14204.0,1,H,A
2040,Richmond,Greater Western Sydney,109.0,73.0,M.C.G.,2022,Round 2,Sun,27-Mar-2022,28813.0,1,H,A
2041,Fremantle,St Kilda,55.0,65.0,Perth Stadium,2022,Round 2,Sun,27-Mar-2022,25284.0,0,H,A
2042,Western Bulldogs,Sydney,71.0,60.0,Docklands,2022,Round 3,Thu,31-Mar-2022,24327.0,1,H,A
2043,Melbourne,Essendon,99.0,70.0,M.C.G.,2022,Round 3,Fri,01-Apr-2022,44503.0,1,H,H
2044,Adelaide,Port Adelaide,96.0,92.0,Adelaide Oval,2022,Round 3,Fri,01-Apr-2022,39190.0,1,H,H
2045,Greater Western Sydney,Gold Coast,83.0,57.0,Sydney Showground,2022,Round 3,Sat,02-Apr-2022,4014.0,1,H,A
2046,Collingwood,Geelong,91.0,104.0,M.C.G.,2022,Round 3,Sat,02-Apr-2022,52974.0,0,H,A
2047,Brisbane Lions,North Melbourne,156.0,48.0,Gabba,2022,Round 3,Sat,02-Apr-2022,19817.0,1,H,A
2048,Carlton,Hawthorn,74.0,73.0,M.C.G.,2022,Round 3,Sun,03-Apr-2022,66317.0,1,H,H
2049,St Kilda,Richmond,117.0,84.0,Docklands,2022,Round 3,Sun,03-Apr-2022,31933.0,1,H,A
2050,West Coast,Fremantle,47.0,102.0,Perth Stadium,2022,Round 3,Sun,03-Apr-2022,38920.0,0,H,H
2051,Port Adelaide,Melbourne,36.0,68.0,Adelaide Oval,2022,Round 4,Thu,07-Apr-2022,23058.0,0,H,A
2052,Geelong,Brisbane Lions,80.0,70.0,Kardinia Park,2022,Round 4,Fri,08-Apr-2022,20505.0,1,H,A
2053,Sydney,North Melbourne,86.0,75.0,S.C.G.,2022,Round 4,Sat,09-Apr-2022,22307.0,1,H,A
2054,Collingwood,West Coast,74.0,87.0,Docklands,2022,Round 4,Sat,09-Apr-2022,25897.0,0,A,A
2055,Fremantle,Greater Western Sydney,88.0,54.0,Perth Stadium,2022,Round 4,Sat,09-Apr-2022,30201.0,1,H,A
2056,Richmond,Western Bulldogs,99.0,61.0,M.C.G.,2022,Round 4,Sat,09-Apr-2022,43645.0,1,H,A
2057,Essendon,Adelaide,103.0,99.0,Docklands,2022,Round 4,Sun,10-Apr-2022,24906.0,1,H,A
2058,Hawthorn,St Kilda,73.0,142.0,M.C.G.,2022,Round 4,Sun,10-Apr-2022,30926.0,0,H,A
2059,Gold Coast,Carlton,92.0,62.0,Carrara,2022,Round 4,Sun,10-Apr-2022,14349.0,1,H,A
2060,Brisbane Lions,Collingwood,98.0,91.0,Gabba,2022,Round 5,Thu,14-Apr-2022,32312.0,1,H,A
2061,North Melbourne,Western Bulldogs,71.0,139.0,Docklands,2022,Round 5,Fri,15-Apr-2022,32162.0,0,H,H
2062,West Coast,Sydney,58.0,121.0,Perth Stadium,2022,Round 5,Fri,15-Apr-2022,42888.0,0,H,A
2063,St Kilda,Gold Coast,87.0,61.0,Docklands,2022,Round 5,Sat,16-Apr-2022,18724.0,1,H,A
2064,Adelaide,Richmond,101.0,82.0,Adelaide Oval,2022,Round 5,Sat,16-Apr-2022,33031.0,1,H,A
2065,Melbourne,Greater Western Sydney,120.0,53.0,M.C.G.,2022,Round 5,Sat,16-Apr-2022,20791.0,1,H,A
2066,Carlton,Port Adelaide,94.0,91.0,M.C.G.,2022,Round 5,Sun,17-Apr-2022,33433.0,1,H,A
2067,Essendon,Fremantle,59.0,107.0,Docklands,2022,Round 5,Sun,17-Apr-2022,23935.0,0,H,A
2068,Hawthorn,Geelong,92.0,80.0,M.C.G.,2022,Round 5,Mon,18-Apr-2022,48030.0,1,H,A
2069,Greater Western Sydney,St Kilda,60.0,77.0,Manuka Oval,2022,Round 6,Fri,22-Apr-2022,11207.0,0,H,A
2070,Western Bulldogs,Adelaide,62.0,63.0,Eureka Stadium,2022,Round 6,Sat,23-Apr-2022,10412.0,0,H,A
2071,Port Adelaide,West Coast,117.0,33.0,Adelaide Oval,2022,Round 6,Sat,23-Apr-2022,28587.0,1,H,A
2072,Fremantle,Carlton,97.0,62.0,Perth Stadium,2022,Round 6,Sat,23-Apr-2022,42302.0,1,H,A
2073,North Melbourne,Geelong,61.0,121.0,Bellerive Oval,2022,Round 6,Sun,24-Apr-2022,8663.0,0,H,A
2074,Gold Coast,Brisbane Lions,80.0,132.0,Carrara,2022,Round 6,Sun,24-Apr-2022,14897.0,0,H,A
2075,Richmond,Melbourne,54.0,76.0,M.C.G.,2022,Round 6,Sun,24-Apr-2022,70334.0,0,H,H
2076,Hawthorn,Sydney,68.0,109.0,York Park,2022,Round 6,Mon,25-Apr-2022,14107.0,0,H,A
2077,Essendon,Collingwood,82.0,93.0,M.C.G.,2022,Round 6,Mon,25-Apr-2022,84205.0,0,H,H
2078,West Coast,Richmond,56.0,165.0,Perth Stadium,2022,Round 7,Fri,29-Apr-2022,39430.0,0,H,A
2079,Geelong,Fremantle,66.0,69.0,Kardinia Park,2022,Round 7,Sat,30-Apr-2022,20136.0,0,H,A
2080,Adelaide,Greater Western Sydney,54.0,113.0,Adelaide Oval,2022,Round 7,Sat,30-Apr-2022,31811.0,0,H,A
2081,Melbourne,Hawthorn,91.0,81.0,M.C.G.,2022,Round 7,Sat,30-Apr-2022,39425.0,1,H,H
2082,Carlton,North Melbourne,114.0,64.0,Docklands,2022,Round 7,Sat,30-Apr-2022,40129.0,1,H,H
2083,St Kilda,Port Adelaide,42.0,43.0,Cazaly's Stadium,2022,Round 7,Sat,30-Apr-2022,6645.0,0,A,A
2084,Collingwood,Gold Coast,115.0,90.0,M.C.G.,2022,Round 7,Sun,01-May-2022,28916.0,1,H,A
2085,Western Bulldogs,Essendon,103.0,71.0,Docklands,2022,Round 7,Sun,01-May-2022,33677.0,1,H,H
2086,Sydney,Brisbane Lions,89.0,113.0,S.C.G.,2022,Round 7,Sun,01-May-2022,30110.0,0,H,A
2087,Port Adelaide,Western Bulldogs,86.0,69.0,Adelaide Oval,2022,Round 8,Fri,06-May-2022,29290.0,1,H,A
2088,Fremantle,North Melbourne,102.0,24.0,Perth Stadium,2022,Round 8,Fri,06-May-2022,37040.0,1,H,A
2089,Richmond,Collingwood,113.0,86.0,M.C.G.,2022,Round 8,Sat,07-May-2022,64481.0,1,H,H
2090,Sydney,Gold Coast,61.0,75.0,S.C.G.,2022,Round 8,Sat,07-May-2022,20420.0,0,H,A
2091,Greater Western Sydney,Geelong,35.0,88.0,Manuka Oval,2022,Round 8,Sat,07-May-2022,11661.0,0,H,A
2092,Essendon,Hawthorn,108.0,81.0,Docklands,2022,Round 8,Sat,07-May-2022,33042.0,1,H,A
2093,Brisbane Lions,West Coast,105.0,30.0,Gabba,2022,Round 8,Sat,07-May-2022,19331.0,1,H,A
2094,Melbourne,St Kilda,93.0,55.0,M.C.G.,2022,Round 8,Sun,08-May-2022,35767.0,1,H,A
2095,Carlton,Adelaide,116.0,68.0,Docklands,2022,Round 8,Sun,08-May-2022,25376.0,1,H,A
2096,Collingwood,Western Bulldogs,51.0,99.0,Docklands,2022,Round 9,Fri,13-May-2022,44029.0,0,A,H
2097,Hawthorn,Richmond,94.0,117.0,M.C.G.,2022,Round 9,Sat,14-May-2022,40663.0,0,H,H
2098,North Melbourne,Port Adelaide,46.0,115.0,Bellerive Oval,2022,Round 9,Sat,14-May-2022,5114.0,0,H,A
2099,St Kilda,Geelong,90.0,80.0,Docklands,2022,Round 9,Sat,14-May-2022,32517.0,1,H,A
2100,Sydney,Essendon,105.0,47.0,S.C.G.,2022,Round 9,Sat,14-May-2022,27464.0,1,H,A
2101,Adelaide,Brisbane Lions,66.0,102.0,Adelaide Oval,2022,Round 9,Sat,14-May-2022,36579.0,0,H,A
2102,Gold Coast,Fremantle,69.0,33.0,Carrara,2022,Round 9,Sun,15-May-2022,6136.0,1,H,A
2103,Greater Western Sydney,Carlton,75.0,105.0,Sydney Showground,2022,Round 9,Sun,15-May-2022,8754.0,0,H,A
2104,West Coast,Melbourne,38.0,112.0,Perth Stadium,2022,Round 9,Sun,15-May-2022,27488.0,0,H,A
2105,Carlton,Sydney,102.0,87.0,Docklands,2022,Round 10,Fri,20-May-2022,44769.0,1,H,A
2106,Western Bulldogs,Gold Coast,106.0,87.0,Eureka Stadium,2022,Round 10,Sat,21-May-2022,6040.0,1,H,A
2107,Geelong,Port Adelaide,82.0,47.0,Kardinia Park,2022,Round 10,Sat,21-May-2022,18721.0,1,H,A
2108,North Melbourne,Melbourne,53.0,100.0,Docklands,2022,Round 10,Sat,21-May-2022,13422.0,0,H,A
2109,Adelaide,St Kilda,69.0,90.0,Adelaide Oval,2022,Round 10,Sat,21-May-2022,28783.0,0,H,A
2110,Richmond,Essendon,80.0,48.0,M.C.G.,2022,Round 10,Sat,21-May-2022,70226.0,1,H,H
2111,Greater Western Sydney,West Coast,138.0,86.0,Sydney Showground,2022,Round 10,Sun,22-May-2022,5057.0,1,H,A
2112,Hawthorn,Brisbane Lions,117.0,112.0,York Park,2022,Round 10,Sun,22-May-2022,12007.0,1,H,A
2113,Fremantle,Collingwood,44.0,80.0,Perth Stadium,2022,Round 10,Sun,22-May-2022,35534.0,0,H,A
2114,Sydney,Richmond,106.0,100.0,S.C.G.,2022,Round 11,Fri,27-May-2022,31387.0,1,H,A
2115,Geelong,Adelaide,97.0,55.0,Kardinia Park,2022,Round 11,Sat,28-May-2022,19051.0,1,H,A
2116,Brisbane Lions,Greater Western Sydney,110.0,96.0,Gabba,2022,Round 11,Sat,28-May-2022,22068.0,1,H,A
2117,Melbourne,Fremantle,56.0,94.0,M.C.G.,2022,Round 11,Sat,28-May-2022,29812.0,0,H,A
2118,West Coast,Western Bulldogs,60.0,161.0,Perth Stadium,2022,Round 11,Sat,28-May-2022,31838.0,0,H,A
2119,Gold Coast,Hawthorn,121.0,54.0,Marrara Oval,2022,Round 11,Sat,28-May-2022,7516.0,1,H,A
2120,St Kilda,North Melbourne,103.0,50.0,Docklands,2022,Round 11,Sun,29-May-2022,23464.0,1,H,H
2121,Collingwood,Carlton,79.0,75.0,M.C.G.,2022,Round 11,Sun,29-May-2022,80627.0,1,H,H
2122,Port Adelaide,Essendon,66.0,50.0,Adelaide Oval,2022,Round 11,Sun,29-May-2022,25877.0,1,H,A
2123,Western Bulldogs,Geelong,70.0,83.0,Docklands,2022,Round 12,Fri,03-Jun-2022,34370.0,0,H,A
2124,Adelaide,West Coast,88.0,57.0,Adelaide Oval,2022,Round 12,Sat,04-Jun-2022,22859.0,1,H,A
2125,Gold Coast,North Melbourne,109.0,47.0,Marrara Oval,2022,Round 12,Sat,04-Jun-2022,5523.0,1,H,A
2126,Melbourne,Sydney,61.0,73.0,M.C.G.,2022,Round 12,Sat,04-Jun-2022,32753.0,0,H,A
2127,Hawthorn,Collingwood,68.0,72.0,M.C.G.,2022,Round 12,Sun,05-Jun-2022,43939.0,0,H,H
2128,Fremantle,Brisbane Lions,99.0,85.0,Perth Stadium,2022,Round 12,Sun,05-Jun-2022,47214.0,1,H,A
2129,Richmond,Port Adelaide,77.0,65.0,M.C.G.,2022,Round 13,Thu,09-Jun-2022,21757.0,1,H,A
2130,Essendon,Carlton,54.0,80.0,M.C.G.,2022,Round 13,Fri,10-Jun-2022,65440.0,0,H,H
2131,Fremantle,Hawthorn,95.0,82.0,Perth Stadium,2022,Round 13,Sat,11-Jun-2022,39428.0,1,H,A
2132,Brisbane Lions,St Kilda,78.0,57.0,Gabba,2022,Round 13,Sat,11-Jun-2022,26610.0,1,H,A
2133,North Melbourne,Greater Western Sydney,53.0,102.0,Docklands,2022,Round 13,Sun,12-Jun-2022,13742.0,0,H,A
2134,Collingwood,Melbourne,82.0,56.0,M.C.G.,2022,Round 13,Mon,13-Jun-2022,76059.0,1,H,H
2135,Richmond,Carlton,81.0,66.0,M.C.G.,2022,Round 14,Thu,16-Jun-2022,50741.0,1,H,H
2136,St Kilda,Essendon,72.0,107.0,Docklands,2022,Round 14,Fri,17-Jun-2022,33274.0,0,H,H
2137,Port Adelaide,Sydney,82.0,59.0,Adelaide Oval,2022,Round 14,Sat,18-Jun-2022,30445.0,1,H,A
2138,West Coast,Geelong,63.0,81.0,Perth Stadium,2022,Round 14,Sat,18-Jun-2022,32526.0,0,H,A
2139,Greater Western Sydney,Western Bulldogs,105.0,125.0,Sydney Showground,2022,Round 14,Sat,18-Jun-2022,6208.0,0,H,A
2140,Gold Coast,Adelaide,116.0,73.0,Carrara,2022,Round 14,Sun,19-Jun-2022,10507.0,1,H,A
2141,Melbourne,Brisbane Lions,117.0,53.0,M.C.G.,2022,Round 15,Thu,23-Jun-2022,37728.0,1,H,A
2142,Western Bulldogs,Hawthorn,125.0,83.0,Docklands,2022,Round 15,Fri,24-Jun-2022,32505.0,1,H,A
2143,West Coast,Essendon,107.0,97.0,Perth Stadium,2022,Round 15,Fri,24-Jun-2022,40933.0,1,H,A
2144,Carlton,Fremantle,81.0,50.0,Docklands,2022,Round 15,Sat,25-Jun-2022,35441.0,1,H,A
2145,Geelong,Richmond,89.0,86.0,M.C.G.,2022,Round 15,Sat,25-Jun-2022,59335.0,1,A,H
2146,Sydney,St Kilda,83.0,32.0,S.C.G.,2022,Round 15,Sat,25-Jun-2022,31513.0,1,H,A
2147,North Melbourne,Adelaide,58.0,115.0,Bellerive Oval,2022,Round 15,Sun,26-Jun-2022,5072.0,0,H,A
2148,Collingwood,Greater Western Sydney,88.0,77.0,M.C.G.,2022,Round 15,Sun,26-Jun-2022,30804.0,1,H,A
2149,Port Adelaide,Gold Coast,93.0,91.0,Adelaide Oval,2022,Round 15,Sun,26-Jun-2022,26241.0,1,H,A
2150,Brisbane Lions,Western Bulldogs,108.0,67.0,Gabba,2022,Round 16,Thu,30-Jun-2022,25011.0,1,H,A
2151,Carlton,St Kilda,78.0,93.0,Docklands,2022,Round 16,Fri,01-Jul-2022,43194.0,0,H,H
2152,Essendon,Sydney,95.0,86.0,M.C.G.,2022,Round 16,Sat,02-Jul-2022,43163.0,1,H,A
2153,Adelaide,Melbourne,65.0,94.0,Adelaide Oval,2022,Round 16,Sat,02-Jul-2022,30702.0,0,H,A
2154,Gold Coast,Collingwood,62.0,67.0,Carrara,2022,Round 16,Sat,02-Jul-2022,16027.0,0,H,A
2155,Geelong,North Melbourne,144.0,32.0,Kardinia Park,2022,Round 16,Sat,02-Jul-2022,18091.0,1,H,A
2156,Richmond,West Coast,128.0,93.0,M.C.G.,2022,Round 16,Sun,03-Jul-2022,39391.0,1,H,A
2157,Greater Western Sydney,Hawthorn,72.0,50.0,Sydney Showground,2022,Round 16,Sun,03-Jul-2022,4812.0,1,H,A
2158,Fremantle,Port Adelaide,99.0,91.0,Perth Stadium,2022,Round 16,Sun,03-Jul-2022,41326.0,1,H,A
2159,Geelong,Melbourne,91.0,63.0,Kardinia Park,2022,Round 17,Thu,07-Jul-2022,21501.0,1,H,A
2160,Sydney,Western Bulldogs,120.0,67.0,S.C.G.,2022,Round 17,Fri,08-Jul-2022,22226.0,1,H,A
2161,Collingwood,North Melbourne,88.0,81.0,M.C.G.,2022,Round 17,Sat,09-Jul-2022,45039.0,1,H,A
2162,Gold Coast,Richmond,94.0,92.0,Carrara,2022,Round 17,Sat,09-Jul-2022,18031.0,1,H,A
2163,St Kilda,Fremantle,70.0,111.0,Docklands,2022,Round 17,Sat,09-Jul-2022,21652.0,0,H,A
2164,Port Adelaide,Greater Western Sydney,84.0,29.0,Adelaide Oval,2022,Round 17,Sat,09-Jul-2022,24744.0,1,H,A
2165,Brisbane Lions,Essendon,90.0,100.0,Gabba,2022,Round 17,Sun,10-Jul-2022,29101.0,0,H,A
2166,Hawthorn,Adelaide,86.0,54.0,Docklands,2022,Round 17,Sun,10-Jul-2022,18833.0,1,A,A
2167,West Coast,Carlton,53.0,116.0,Perth Stadium,2022,Round 17,Sun,10-Jul-2022,43359.0,0,H,A
2168,Western Bulldogs,St Kilda,84.0,56.0,Docklands,2022,Round 18,Fri,15-Jul-2022,25981.0,1,H,H
2169,Adelaide,Collingwood,86.0,91.0,Adelaide Oval,2022,Round 18,Sat,16-Jul-2022,30110.0,0,H,A
2170,Greater Western Sydney,Brisbane Lions,59.0,99.0,Manuka Oval,2022,Round 18,Sat,16-Jul-2022,9010.0,0,H,A
2171,North Melbourne,Richmond,92.0,88.0,Docklands,2022,Round 18,Sat,16-Jul-2022,22666.0,1,H,A
2172,Carlton,Geelong,55.0,85.0,M.C.G.,2022,Round 18,Sat,16-Jul-2022,68208.0,0,H,A
2173,Fremantle,Sydney,65.0,82.0,Perth Stadium,2022,Round 18,Sat,16-Jul-2022,46596.0,0,H,A
2174,Hawthorn,West Coast,102.0,77.0,M.C.G.,2022,Round 18,Sun,17-Jul-2022,22598.0,1,H,A
2175,Melbourne,Port Adelaide,83.0,69.0,Traeger Park,2022,Round 18,Sun,17-Jul-2022,6312.0,1,H,A
2176,Essendon,Gold Coast,103.0,55.0,Docklands,2022,Round 18,Sun,17-Jul-2022,23484.0,1,H,A
2177,Richmond,Fremantle,52.0,52.0,Docklands,2022,Round 19,Fri,22-Jul-2022,23549.0,0,A,A
2178,Sydney,Adelaide,118.0,85.0,S.C.G.,2022,Round 19,Sat,23-Jul-2022,25084.0,1,H,A
2179,North Melbourne,Hawthorn,75.0,121.0,Bellerive Oval,2022,Round 19,Sat,23-Jul-2022,9713.0,0,H,A
2180,Port Adelaide,Geelong,94.0,106.0,Adelaide Oval,2022,Round 19,Sat,23-Jul-2022,30937.0,0,H,A
2181,Brisbane Lions,Gold Coast,110.0,93.0,Gabba,2022,Round 19,Sat,23-Jul-2022,21467.0,1,H,A
2182,Western Bulldogs,Melbourne,110.0,100.0,Docklands,2022,Round 19,Sat,23-Jul-2022,26501.0,1,H,A
2183,Carlton,Greater Western Sydney,90.0,54.0,Docklands,2022,Round 19,Sun,24-Jul-2022,30295.0,1,H,A
2184,Collingwood,Essendon,80.0,76.0,M.C.G.,2022,Round 19,Sun,24-Jul-2022,72402.0,1,H,H
2185,West Coast,St Kilda,62.0,90.0,Perth Stadium,2022,Round 19,Sun,24-Jul-2022,35665.0,0,H,A
2186,Fremantle,Melbourne,39.0,85.0,Perth Stadium,2022,Round 20,Fri,29-Jul-2022,46313.0,0,H,A
2187,Collingwood,Port Adelaide,88.0,82.0,M.C.G.,2022,Round 20,Sat,30-Jul-2022,40716.0,1,H,A
2188,Sydney,Greater Western Sydney,112.0,39.0,S.C.G.,2022,Round 20,Sat,30-Jul-2022,31916.0,1,H,A
2189,St Kilda,Hawthorn,75.0,63.0,Docklands,2022,Round 20,Sat,30-Jul-2022,25348.0,1,H,A
2190,Geelong,Western Bulldogs,94.0,66.0,Kardinia Park,2022,Round 20,Sat,30-Jul-2022,22106.0,1,H,A
2191,Adelaide,Carlton,84.0,55.0,Adelaide Oval,2022,Round 20,Sat,30-Jul-2022,35666.0,1,H,A
2192,Gold Coast,West Coast,107.0,104.0,Carrara,2022,Round 20,Sun,31-Jul-2022,8282.0,1,H,A
2193,Richmond,Brisbane Lions,104.0,97.0,M.C.G.,2022,Round 20,Sun,31-Jul-2022,39056.0,1,H,A
2194,Essendon,North Melbourne,114.0,66.0,Docklands,2022,Round 20,Sun,31-Jul-2022,29549.0,1,H,H
2195,Melbourne,Collingwood,89.0,96.0,M.C.G.,2022,Round 21,Fri,05-Aug-2022,70596.0,0,H,H
2196,Hawthorn,Gold Coast,70.0,63.0,York Park,2022,Round 21,Sat,06-Aug-2022,9022.0,1,H,A
2197,Greater Western Sydney,Essendon,96.0,69.0,Sydney Showground,2022,Round 21,Sat,06-Aug-2022,7772.0,1,H,A
2198,Western Bulldogs,Fremantle,78.0,95.0,Docklands,2022,Round 21,Sat,06-Aug-2022,24130.0,0,H,A
2199,Geelong,St Kilda,110.0,65.0,Kardinia Park,2022,Round 21,Sat,06-Aug-2022,20583.0,1,H,A
2200,Port Adelaide,Richmond,71.0,109.0,Adelaide Oval,2022,Round 21,Sat,06-Aug-2022,27091.0,0,H,A
2201,North Melbourne,Sydney,88.0,126.0,Docklands,2022,Round 21,Sun,07-Aug-2022,19091.0,0,H,A
2202,Brisbane Lions,Carlton,114.0,81.0,Gabba,2022,Round 21,Sun,07-Aug-2022,31011.0,1,H,A
2203,West Coast,Adelaide,86.0,102.0,Perth Stadium,2022,Round 21,Sun,07-Aug-2022,50117.0,0,H,A
2204,St Kilda,Brisbane Lions,66.0,81.0,Docklands,2022,Round 22,Fri,12-Aug-2022,22211.0,0,H,A
2205,Western Bulldogs,Greater Western Sydney,62.0,57.0,Docklands,2022,Round 22,Sat,13-Aug-2022,18301.0,1,H,A
2206,Adelaide,North Melbourne,103.0,74.0,Adelaide Oval,2022,Round 22,Sat,13-Aug-2022,28802.0,1,H,A
2207,Gold Coast,Geelong,59.0,119.0,Carrara,2022,Round 22,Sat,13-Aug-2022,14728.0,0,H,A
2208,Melbourne,Carlton,79.0,74.0,M.C.G.,2022,Round 22,Sat,13-Aug-2022,55705.0,1,H,H
2209,Fremantle,West Coast,71.0,47.0,Perth Stadium,2022,Round 22,Sat,13-Aug-2022,53818.0,1,H,H
2210,Richmond,Hawthorn,128.0,67.0,M.C.G.,2022,Round 22,Sun,14-Aug-2022,59338.0,1,H,H
2211,Sydney,Collingwood,77.0,50.0,S.C.G.,2022,Round 22,Sun,14-Aug-2022,44659.0,1,H,A
2212,Essendon,Port Adelaide,62.0,146.0,Docklands,2022,Round 22,Sun,14-Aug-2022,20568.0,0,H,A
2213,Brisbane Lions,Melbourne,57.0,115.0,Gabba,2022,Round 23,Fri,19-Aug-2022,32172.0,0,H,A
2214,Greater Western Sydney,Fremantle,69.0,89.0,Manuka Oval,2022,Round 23,Sat,20-Aug-2022,7338.0,0,H,A
2215,North Melbourne,Gold Coast,47.0,114.0,Docklands,2022,Round 23,Sat,20-Aug-2022,14196.0,0,H,A
2216,Geelong,West Coast,131.0,46.0,Kardinia Park,2022,Round 23,Sat,20-Aug-2022,21098.0,1,H,A
2217,Essendon,Richmond,75.0,141.0,M.C.G.,2022,Round 23,Sat,20-Aug-2022,58366.0,0,H,H
2218,Port Adelaide,Adelaide,111.0,55.0,Adelaide Oval,2022,Round 23,Sat,20-Aug-2022,50090.0,1,H,H
2219,Hawthorn,Western Bulldogs,64.0,87.0,York Park,2022,Round 23,Sun,21-Aug-2022,13105.0,0,H,A
2220,Carlton,Collingwood,74.0,75.0,M.C.G.,2022,Round 23,Sun,21-Aug-2022,88287.0,0,H,H
2221,St Kilda,Sydney,74.0,88.0,Docklands,2022,Round 23,Sun,21-Aug-2022,23344.0,0,H,A
2222,Brisbane Lions,Richmond,106.0,104.0,Gabba,2022,Elimination Final,Thu,01-Sep-2022,35013.0,1,H,A
2223,Melbourne,Sydney,69.0,91.0,M.C.G.,2022,Qualifying Final,Fri,02-Sep-2022,78377.0,0,H,A
2224,Geelong,Collingwood,78.0,72.0,M.C.G.,2022,Qualifying Final,Sat,03-Sep-2022,91525.0,1,A,H
2225,Fremantle,Western Bulldogs,73.0,60.0,Perth Stadium,2022,Elimination Final,Sat,03-Sep-2022,58982.0,1,H,A
2226,Melbourne,Brisbane Lions,79.0,92.0,M.C.G.,2022,Semi Final,Fri,09-Sep-2022,62162.0,0,H,A
2227,Collingwood,Fremantle,79.0,59.0,M.C.G.,2022,Semi Final,Sat,10-Sep-2022,90612.0,1,H,A
2228,Geelong,Brisbane Lions,120.0,49.0,M.C.G.,2022,Preliminary Final,Fri,16-Sep-2022,77677.0,1,A,A
2229,Sydney,Collingwood,95.0,94.0,S.C.G.,2022,Preliminary Final,Sat,17-Sep-2022,45608.0,1,H,A
2230,Geelong,Sydney,133.0,52.0,M.C.G.,2022,Grand Final,Sat,24-Sep-2022,100024.0,1,A,A
2231,Richmond,Carlton,58.0,58.0,M.C.G.,2023,Round 1,Thu,16-Mar-2023,88084.0,0,H,H
2232,Geelong,Collingwood,103.0,125.0,M.C.G.,2023,Round 1,Fri,17-Mar-2023,86595.0,0,A,H
2233,North Melbourne,West Coast,87.0,82.0,Docklands,2023,Round 1,Sat,18-Mar-2023,21274.0,1,H,A
2234,Port Adelaide,Brisbane Lions,126.0,72.0,Adelaide Oval,2023,Round 1,Sat,18-Mar-2023,34255.0,1,H,A
2235,Melbourne,Western Bulldogs,115.0,65.0,M.C.G.,2023,Round 1,Sat,18-Mar-2023,48103.0,1,H,A
2236,Gold Coast,Sydney,61.0,110.0,Carrara,2023,Round 1,Sat,18-Mar-2023,13648.0,0,H,A
2237,Greater Western Sydney,Adelaide,106.0,90.0,Sydney Showground,2023,Round 1,Sun,19-Mar-2023,8169.0,1,H,A
2238,Hawthorn,Essendon,65.0,124.0,M.C.G.,2023,Round 1,Sun,19-Mar-2023,68691.0,0,H,H
2239,St Kilda,Fremantle,67.0,52.0,Docklands,2023,Round 1,Sun,19-Mar-2023,23429.0,1,H,A
2240,Carlton,Geelong,90.0,82.0,M.C.G.,2023,Round 2,Thu,23-Mar-2023,55861.0,1,H,A
2241,Brisbane Lions,Melbourne,93.0,82.0,Gabba,2023,Round 2,Fri,24-Mar-2023,30047.0,1,H,A
2242,Collingwood,Port Adelaide,135.0,64.0,M.C.G.,2023,Round 2,Sat,25-Mar-2023,60744.0,1,H,A
2243,Adelaide,Richmond,76.0,108.0,Adelaide Oval,2023,Round 2,Sat,25-Mar-2023,38492.0,0,H,A
