,Rank,Player,Position,G    ,B,GA,GA%,SAG,SI,SL,Season,Round
147,57,Isaac Quaynor,DEF,0,0,0,0,0,4,1,2024,Opening Round
148,57,Dane Rampe,KEYD,0,0,0,0,0,2,0,2024,Opening Round
149,57,Jake Riccardi,KEYF,0,0,0,0,0,1,1,2024,Opening Round
150,57,Maurice Rioli,FWD,0,1,2,0,1,3,1,2024,Opening Round
151,57,Daniel Rioli,DEF,0,0,1,0,0,1,0,2024,Opening Round
152,57,Trent Rivers,DEF,0,0,0,0,0,1,0,2024,Opening Round
153,57,Matt Roberts,DEF,0,0,0,0,0,1,1,2024,Opening Round
154,57,Jack Ross,MID,0,0,1,0,0,2,0,2024,Opening Round
155,57,James Rowbottom,MID,0,2,0,0,2,4,2,2024,Opening Round
156,57,Matt Rowell,MID,0,0,0,0,1,9,4,2024,Opening Round
157,57,Samson Ryan,RUC,0,0,0,0,0,0,0,2024,Opening Round
158,57,Adam Saad,DEF,0,0,0,0,0,1,1,2024,Opening Round
159,57,Christian Salem,MID,0,0,0,0,0,1,0,2024,Opening Round
160,57,Josh Schache,KEYF,0,2,0,0,2,2,1,2024,Opening Round
161,57,Lachie Schultz,FWD,0,3,0,0,4,5,1,2024,Opening Round
162,57,Alex Sexton,DEF,0,0,0,0,0,5,2,2024,Opening Round
163,57,Jayden Short,DEF,0,0,0,0,0,0,0,2024,Opening Round
164,57,Steele Sidebottom,MID,0,0,2,0,0,6,1,2024,Opening Round
165,57,Charlie Spargo,FWD,0,1,0,0,1,3,0,2024,Opening Round
166,57,Tom Sparrow,FWD,0,0,0,0,0,3,3,2024,Opening Round
167,57,Brandon Starcevich,DEF,0,0,0,0,0,1,1,2024,Opening Round
168,57,David Swallow,DEF,0,0,1,0,0,2,0,2024,Opening Round
169,57,Tim Taranto,MID,0,0,0,0,0,2,2,2024,Opening Round
170,57,Sam Taylor,KEYD,0,0,0,0,0,2,0,2024,Opening Round
171,57,Harvey Thomas,FWD,0,0,3,0,0,4,0,2024,Opening Round
172,57,Adam Tomlinson,KEYD,0,0,0,0,0,1,1,2024,Opening Round
173,57,Bodhi Uwland,DEF,0,0,0,0,0,2,1,2024,Opening Round
174,57,Nick Vlastuin,DEF,0,0,0,0,0,1,1,2024,Opening Round
175,57,Callan Ward,MID,0,0,0,0,0,3,1,2024,Opening Round
176,57,Jacob Wehr,MID,0,1,1,0,1,5,2,2024,Opening Round
177,57,Lachie Whitfield,DEF,0,0,0,0,0,3,1,2024,Opening Round
178,57,Zac Williams,DEF,0,0,0,0,0,1,0,2024,Opening Round
179,57,Darcy Wilmot,DEF,0,0,0,0,0,3,2,2024,Opening Round
180,57,Caleb Windsor,MID,0,0,1,0,0,4,2,2024,Opening Round
181,57,Jarrod Witts,RUC,0,1,0,0,1,6,6,2024,Opening Round
182,57,Lewis Young,KEYD,0,0,0,0,0,1,1,2024,Opening Round
183,57,Tylar Young,KEYD,0,0,0,0,0,0,0,2024,Opening Round
